text,label
halo,sapaan
hai,sapaan
hallo,sapaan
hi,sapaan
hello,sapaan
assalamualaikum,sapaan
assalamu alaikum,sapaan
selamat pagi,sapaan
selamat siang,sapaan
selamat sore,sapaan
selamat malam,sapaan
salam,sapaan
pagi,sapaan
siang,sapaan
sore,sapaan
malam,sapaan
halo nova,sapaan
hai nova,sapaan
hi nova,sapaan
hello nova,sapaan
halo chatbot,sapaan
hai chatbot,sapaan
halo fikti,sapaan
hai fikti,sapaan
halo admin,sapaan
hai admin,sapaan
apa kabar,sapaan
apa kabar nova,sapaan
gimana kabarnya,sapaan
bagaimana kabarmu,sapaan
kabarmu gimana,sapaan
semoga harimu menyenangkan,sapaan
senang bertemu denganmu,sapaan
senang bertemu,sapaan
salam,sapaan
permisi,sapaan
permisi nova,sapaan
permisi chatbot,sapaan
punten,sapaan
halo semuanya,sapaan
hai semuanya,sapaan
selamat datang,sapaan
halo selamat pagi,sapaan
halo selamat siang,sapaan
halo selamat sore,sapaan
halo selamat malam,sapaan
hai selamat pagi,sapaan
hai selamat siang,sapaan
hai selamat sore,sapaan
hai selamat malam,sapaan
halo apa kabar,sapaan
hai apa kabar,sapaan
hello apa kabar,sapaan
hi apa kabar,sapaan
halo kamu,sapaan
hai kamu,sapaan
halo bot,sapaan
hai bot,sapaan
hello bot,sapaan
hi bot,sapaan
halo ai,sapaan
hai ai,sapaan
halo asisten,sapaan
hai asisten,sapaan
selamat beraktivitas,sapaan
semangat pagi,sapaan
semangat siang,sapaan
semangat sore,sapaan
semangat malam,sapaan
selamat bekerja,sapaan
halo teman,sapaan
hai teman,sapaan
halo bro,sapaan
hai bro,sapaan
halo kak,sapaan
hai kak,sapaan
halo bang,sapaan
hai bang,sapaan
halo mba,sapaan
hai mba,sapaan
halo admin fikti,sapaan
hai admin fikti,sapaan
selamat pagi nova,sapaan
selamat siang nova,sapaan
selamat sore nova,sapaan
selamat malam nova,sapaan
assalamualaikum nova,sapaan
halo dulu,sapaan
izin bertanya,sapaan
izin tanya,sapaan
boleh tanya,sapaan
aku mau bertanya,sapaan
saya mau bertanya,sapaan
saya ingin bertanya,sapaan
aku ingin bertanya,sapaan
bolehkah saya bertanya,sapaan
bisa bantu saya,sapaan
tolong bantu saya,sapaan
mohon bantuannya,sapaan
halo boleh tanya,sapaan
hai boleh tanya,sapaan
halo bisa bantu,sapaan
hai bisa bantu,sapaan
